id;pedido_id;producto_id;cantidad;precio_unitario
1;4043;9588.0;2;31351.92
2;4931;7979.0;1;17214.3
3;9973;2080.0;1;62582.44
3;3889;6799.0;2;357081.74
4;2018;5714.0;2;94355.76
5;5138;6337.0;1;274284.77
6;8595;4844.0;1;316280.04
7;2164;2054.0;2;207798.19
8;386;8634.0;4;331757.07
9;9144;3013.0;3;51333.31
10;1929;5456.0;1;305201.78
11;4475;1252.0;3;290219.96
12;5926;8752.0;5;308540.91
13;2099;1525.0;5;344911.63
14;2438;7961.0;5;119777.86
15;4628;6316.0;3;47306.36
16;1855;7145.0;3;200267.24
17;9420;7307.0;3;323177.53
18;9625;8225.0;1;93741.52
19;4442;6984.0;2;127892.24
20;9506;5786.0;3;273185.42
21;3906;6567.0;5;99399.11
22;8180;2931.0;3;153896.09
23;7218;8752.0;4;328106.94
24;6581;6316.0;3;55990.46
25;8237;804.0;5;166831.74
26;9884;1230.0;3;138759.39
8;4850;8200.0;5;306928.39
2;7740;7775.0;1;220672.36
27;4009;5658.0;3;314065.97
28;7171;2416.0;5;110790.94
29;4585;9372.0;1;216494.05
30;4990;8053.0;2;59689.15
31;3096;2132.0;2;205722.83
32;9884;4808.0;2;26736.34
33;4019;6177.0;5;226990.85
34;3533;9511.0;3;95690.62
35;6480;233.0;5;229642.38
36;5490;1311.0;5;267070,09
37;7609;4534.0;2;17489.11
38;3056;6543.0;4;143105.67
39;7570;4224.0;5;16047.52
29;2361;151.0;4;128480.64
40;394;4650.0;1;46273,15
41;5997;8309.0;2;148492.95
42;198;2863.0;5;261281.85
43;9022;8186.0;2;187657.28
44;9122;5910.0;5;49406.92
45;943;5450.0;4;124982.7
46;9950;5226.0;3;123294.02
47;2904;6275.0;5;78316.34
48;6445;3121.0;3;140389.66
49;771;5479.0;4;289481.15
50;126;7243.0;2;77141.5
27;3560;7433.0;3;68587.96
42;7454;8716.0;2;300238.13
51;2403;1568.0;3;205596.13
52;9419;9829.0;3;316991.46
53;3071;5772.0;1;201691.68
54;5164;5629.0;1;185559.41
55;709;8384.0;4;265265.52
56;8237;535.0;4;359898.26
57;2268;6249.0;3;143709.91
58;3480;9578.0;5;300457.89
59;5570;7075.0;4;122401.52
60;8336;1311.0;3;258522.55
61;3597;1482.0;2;76626.43
1;7898;4077.0;3;259222.71
62;5395;4873.0;1;297704.37
63;2780;9631.0;2;52669.91
50;5849;8818.0;4;180990.86
64;7525;4834.0;5;200463.35
65;4128;9013.0;1;313799.18
14;9134;6238.0;1;66392.98
66;2183;8023.0;1;60765.02
35;5398;3015.0;4;173159.36
67;1465;9578.0;3;265806.18
68;384;2838.0;4;93696.67
69;1204;8932.0;5;222703.7
70;1858;7204.0;2;72986.61
71;7525;4485.0;2;289934.51
72;9693;9736.0;5;123787.59
73;1836;4873.0;4;327377.17
74;3603;1071.0;4;245240.53
75;6623;1991.0;4;148146.8
76;4753;7283.0;5;88129.1
77;7542;8907.0;5;122385.65
78;2722;5547.0;1;215527.52
70;2370;3261.0;1;327137.35
79;4913;854.0;1;308763.92
80;5693;5563.0;1;133561.2
81;1909;1991.0;3;162541.25
82;1950;2602.0;3;208297,02
83;2438;2452.0;4;201041.92
84;7804;4479.0;3;185771.15
85;4013;3210.0;2;53487,43
86;8760;3947.0;2;39793.47
34;8701;7343.0;3;49811.14
87;5566;35.0;3;180537,79
88;7804;7195.0;2;296775.13
25;7684;1344.0;2;224164,58
89;1229;4656.0;4;206710.09
57;3323;6694.0;2;26800.84
90;4990;8027.0;4;30529.6
91;5226;1444.0;4;289380.09
92;6867;9001.0;1;101318.12
93;7708;505.0;4;62056.07
32;5093;2933.0;5;266112.22
94;9309;1301.0;2;66721.46
95;9720;50.0;3;222531.59
96;6606;9161.0;2;99466.91
97;8127;4302.0;2;160139.21
96;5877;88.0;5;168191.35
98;2099;5456.0;4;363722.68
99;956;2838.0;5;85328.47
100;4192;8033.0;1;214379,63
80;6062;4315.0;2;154819.77
101;9494;5986.0;1;38142.48
102;5566;6252.0;3;166189.23
103;4593;2644.0;2;310616.75
104;9921;6409.0;2;254919.01
